"12407: Monthly earnings, by level of education, number of years since education was completed, field of study, contents, year and measuring method"
"Tertial education, 4 years or less (level 6)";"5 years or more";"7 Primary industries";39680;37370;30780;44650;2922;;40700;37760;31550;46120;2664;;41910;38710;32480;47500;2714;;43410;40350;33530;49390;2840;;44710;41490;34490;50820;2993;;45660;42370;35000;52000;3044;
"Tertial education, 4 years or less (level 6)";"5 years or more";"8 Transport and communications, safety and security and other services";51890;45970;39320;58280;23595;;51280;46360;39780;56990;19410;18197;52540;47590;40390;58310;20154;18905;53890;49080;41200;59790;21227;19878;55550;50660;42380;61640;22434;20990;56290;51470;43380;61950;23318;21722
"Tertial education, 4 years or less (level 6)";"5 years or more";"9 Unspecified field of study";41670;38950;31060;46870;10426;;42370;39180;31870;47890;9526;7709;43390;40000;32580;49450;9507;7712;44710;40980;33140;50610;9581;7770;45890;42030;33800;52080;10103;8146;46570;42270;34440;52610;10068;8063
"Tertial education, 4 years or less (level 6)";"Unknown";"A1 All fields of study";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Tertial education, 4 years or less (level 6)";"Unknown";"0 General subjects";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Tertial education, 4 years or less (level 6)";"Unknown";"1 Humanities and arts";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Tertial education, 4 years or less (level 6)";"Unknown";"2 Teacher training and pedagogy";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Tertial education, 4 years or less (level 6)";"Unknown";"3 Social sciences and law";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Tertial education, 4 years or less (level 6)";"Unknown";"4 Business and administration";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Tertial education, 4 years or less (level 6)";"Unknown";"5 Natural sciences, vocational and technical subjects";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Tertial education, 4 years or less (level 6)";"Unknown";"6 Health, welfare and sport";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Tertial education, 4 years or less (level 6)";"Unknown";"7 Primary industries";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Tertial education, 4 years or less (level 6)";"Unknown";"8 Transport and communications, safety and security and other services";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Tertial education, 4 years or less (level 6)";"Unknown";"9 Unspecified field of study";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Tertial education, more than 4 years (level 7-8)";"Total";"A1 All fields of study";55050;50000;41510;64170;286902;;56170;51070;42370;65340;302501;267298;57500;52290;43350;66670;316237;279743;59040;53840;44640;68640;332433;293977;60770;55420;45860;70710;353681;313393;62310;56670;47210;72110;346536;308531
"Tertial education, more than 4 years (level 7-8)";"Total";"0 General subjects";;;;;;;;;;;;;;;;;;;;;;;;;37590;34330;30160;41440;107;75;38770;35070;32070;41880;111;77
"Tertial education, more than 4 years (level 7-8)";"Total";"1 Humanities and arts";44880;44540;38000;50410;29564;;46270;45670;38980;52210;31788;25820;47450;46950;40000;53490;32680;26482;48780;48060;41240;54710;33852;27295;50220;49530;42180;56390;35484;28698;51170;50420;43420;56840;34449;28050
"Tertial education, more than 4 years (level 7-8)";"Total";"2 Teacher training and pedagogy";43640;43290;38150;49350;13882;;44790;44280;39520;50540;15565;13124;46020;45580;40820;51560;16852;14285;47210;46440;42120;52670;18283;15596;48480;47730;43520;54250;20336;17380;49090;48300;44180;54460;19800;17103
"Tertial education, more than 4 years (level 7-8)";"Total";"3 Social sciences and law";52440;47920;40280;59290;50671;;53920;49460;41420;60630;54417;49466;55200;50280;42340;62500;56704;51592;56820;51960;43590;64630;59261;53857;58780;53730;45000;66700;62368;56695;60270;55020;46200;68300;61237;56164
"Tertial education, more than 4 years (level 7-8)";"Total";"4 Business and administration";54510;50000;39950;63750;33901;;56300;51050;40740;66330;38150;;57610;52500;41670;67500;41500;;59660;54430;43200;69970;44757;;61860;56670;44720;72330;49587;;64230;58770;46950;75000;49130;
"Tertial education, more than 4 years (level 7-8)";"Total";"5 Natural sciences, vocational and technical subjects";60620;55310;44990;71770;92846;;61340;56120;45970;72600;93118;86954;62470;57250;46870;73830;96262;89975;64050;58810;48240;75300;100427;93937;65910;60600;49720;77420;106245;99669;67580;62500;51040;79030;103749;97508
"Tertial education, more than 4 years (level 7-8)";"Total";"6 Health, welfare and sport";56720;51500;41780;67840;50809;;58270;52520;43160;69470;54383;;60290;54170;44240;72000;57080;;61510;55220;45330;73390;60380;;62710;56350;46260;74780;63529;;64020;57710;47760;76070;62748;
"Tertial education, more than 4 years (level 7-8)";"Total";"7 Primary industries";50960;48330;40340;57500;6143;;52860;50000;42220;59270;6031;5259;54040;50980;43110;61000;6040;5266;55570;52610;44320;63360;6060;5254;57240;54250;45020;65730;6106;5336;58190;54880;46030;66670;5887;5152
"Tertial education, more than 4 years (level 7-8)";"Total";"8 Transport and communications, safety and security and other services";60910;54310;45840;72890;4750;;60370;54840;45210;71440;4774;;61340;56120;45820;72770;4810;;62520;56820;46400;74460;5002;;64180;58730;46940;76400;5287;;65280;60290;48760;77000;5004;
"Tertial education, more than 4 years (level 7-8)";"Total";"9 Unspecified field of study";47070;44270;32260;55310;4298;;48070;45500;33570;56380;4230;;49390;46670;34260;58330;4268;;51520;48750;35750;60830;4367;;53660;50820;37540;64090;4632;3842;55480;52550;39930;66000;4421;3680
"Tertial education, more than 4 years (level 7-8)";"0-4 years";"A1 All fields of study";43290;41670;37030;47500;69365;;44220;42430;37630;48090;72608;62935;45320;43500;38510;49350;75124;65456;46800;44830;39870;50820;78268;68247;48420;46170;41410;52500;81407;71489;49750;47490;42710;53820;64043;
"Tertial education, more than 4 years (level 7-8)";"0-4 years";"0 General subjects";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Tertial education, more than 4 years (level 7-8)";"0-4 years";"1 Humanities and arts";38660;38310;33100;43370;6140;;39910;39720;34420;44860;6507;4758;41080;41080;35210;46510;6508;4781;42560;42890;36830;47640;6570;4817;43750;44090;37960;49170;6601;4913;45010;45000;39780;50000;5070;3808
"Tertial education, more than 4 years (level 7-8)";"0-4 years";"2 Teacher training and pedagogy";41880;41540;38280;45980;5085;;43160;42770;39940;46920;5754;;44280;43960;40830;47930;6259;;45450;44990;42370;49060;6784;5898;46950;46340;43940;50180;7487;6521;47440;46730;44330;50680;6003;5341
"Tertial education, more than 4 years (level 7-8)";"0-4 years";"3 Social sciences and law";40740;39580;35420;44240;12307;;41780;40420;36260;45250;13161;11546;42770;41570;37210;46130;13483;11887;44220;42880;38160;47880;13909;12229;45810;44330;39940;49480;14058;12520;47160;45420;41310;50660;11116;10112
"Tertial education, more than 4 years (level 7-8)";"0-4 years";"4 Business and administration";45240;42420;36750;51200;11958;;45830;42500;37080;51470;13133;12067;47200;43330;37630;53260;14415;13331;48840;45200;39170;54910;15026;13905;50700;46940;40590;57180;15499;14370;52390;48750;42220;58880;12119;11270
"Tertial education, more than 4 years (level 7-8)";"0-4 years";"5 Natural sciences, vocational and technical subjects";43760;42920;38790;47230;18071;;44130;43330;39130;47830;17337;15932;44830;44170;39530;48700;17501;16128;46280;45420;40760;50000;18348;16957;48150;46930;42470;51800;19415;18107;49650;48250;43840;53330;15084;14297
"Tertial education, more than 4 years (level 7-8)";"0-4 years";"6 Health, welfare and sport";45920;43140;38780;50000;13990;;47300;44280;39540;51030;14989;12206;48510;45210;41080;52180;15229;12411;49840;46580;42120;53730;15897;12913;51110;47720;43430;55000;16418;13336;52160;49480;43860;55820;13183;10861
"Tertial education, more than 4 years (level 7-8)";"0-4 years";"7 Primary industries";38530;38280;33750;42500;514;;39280;39200;35230;43330;476;411;40190;40000;35830;45000;488;416;41940;41670;37500;46250;486;420;43460;42870;39300;47500;512;440;45370;44820;40650;50000;400;352
"Tertial education, more than 4 years (level 7-8)";"0-4 years";"8 Transport and communications, safety and security and other services";45440;43710;37500;51670;604;;47290;45830;38760;53360;729;664;49070;47500;40190;55110;807;754;51510;49640;41670;56820;894;830;53380;51290;43600;60080;1046;973;55450;53310;45000;62030;814;
"Tertial education, more than 4 years (level 7-8)";"0-4 years";"9 Unspecified field of study";38730;38280;27500;45080;696;;40080;40040;30170;46900;522;434;41200;40210;31500;48240;434;351;43950;43650;36830;50000;354;280;45480;44330;38000;51420;369;;46140;45470;40110;51480;254;
"Tertial education, more than 4 years (level 7-8)";"5 years or more";"A1 All fields of study";58730;53440;44590;68920;217537;;59860;54670;45660;70000;229893;204362;61220;55990;46640;71610;241113;214288;62740;57470;47900;73330;254165;225729;64420;59060;49170;75080;272274;241905;65160;59630;49690;75830;282493;251513
"Tertial education, more than 4 years (level 7-8)";"5 years or more";"0 General subjects";;;;;;;;;;;;;;;;;;;;;;;;;37860;34860;30470;41540;105;;38770;35070;32070;41880;111;77
"Tertial education, more than 4 years (level 7-8)";"5 years or more";"1 Humanities and arts";46350;45840;39620;51300;23424;;47700;47230;40690;53020;25281;21062;48860;48270;41600;54320;26172;21700;50110;49520;42710;55410;27282;22478;51560;50830;43750;57120;28883;23786;52140;51380;44420;57510;29379;24242
"Tertial education, more than 4 years (level 7-8)";"5 years or more";"2 Teacher training and pedagogy";44670;44990;38030;50300;8797;;45770;45910;39320;51670;9811;8207;47070;47290;40700;52920;10593;8890;48280;48230;41730;54180;11499;9698;49410;49450;42790;55480;12849;10859;49840;49600;44000;55530;13797;11761
"Tertial education, more than 4 years (level 7-8)";"5 years or more";"3 Social sciences and law";56050;51200;43330;63380;38364;;57610;53000;44670;65330;41256;37921;58930;54150;45670;66670;43221;39705;60530;55800;47010;68750;45352;41628;62450;57610;48390;70830;48310;44175;63150;58250;48930;71470;50121;46052
"Tertial education, more than 4 years (level 7-8)";"5 years or more";"4 Business and administration";59540;54790;43930;70110;21943;;61740;57020;45520;72250;25017;;63130;58410;46830;73950;27085;;65100;60420;48330;75940;29731;;66940;62350;49630;78330;34088;;68130;62920;50330;79170;37011;
"Tertial education, more than 4 years (level 7-8)";"5 years or more";"5 Natural sciences, vocational and technical subjects";64660;60100;49360;75710;74775;;65200;60730;50080;76130;75781;71021;66320;62000;51050;77400;78761;73847;67960;63490;52580;79170;82079;76981;69850;65470;54170;81170;86830;81563;70660;66200;54610;81780;88665;83211
"Tertial education, more than 4 years (level 7-8)";"5 years or more";"6 Health, welfare and sport";60930;56940;45550;73000;36819;;62550;58510;46750;75000;39394;;64690;60150;47780;77760;41851;;65760;60830;48550;79030;44483;;66830;61540;49510;80380;47111;;67240;61710;49990;80690;49565;
"Tertial education, more than 4 years (level 7-8)";"5 years or more";"7 Primary industries";52090;49260;42000;58330;5629;;54010;50810;43870;60260;5555;4848;55220;51960;44790;62410;5552;4851;56750;53750;46120;64790;5574;4834;58480;55550;47050;66990;5594;4896;59130;55830;47500;67920;5487;4800
"Tertial education, more than 4 years (level 7-8)";"5 years or more";"8 Transport and communications, safety and security and other services";63130;56090;47790;75700;4146;;62730;56250;47230;75040;4045;;63880;57210;48240;76330;4003;;64990;58750;48840;78350;4108;;66930;61500;49520;80840;4241;;67300;61700;50420;80690;4190;
"Tertial education, more than 4 years (level 7-8)";"5 years or more";"9 Unspecified field of study";48720;45840;33540;57500;3602;;49200;46520;34030;58160;3708;;50300;47580;34580;59560;3834;;52160;49650;35720;61980;4013;;54370;51670;37500;65400;4263;3535;56040;53330;39930;66700;4167;3474
"Tertial education, more than 4 years (level 7-8)";"Unknown";"A1 All fields of study";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Tertial education, more than 4 years (level 7-8)";"Unknown";"0 General subjects";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Tertial education, more than 4 years (level 7-8)";"Unknown";"1 Humanities and arts";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Tertial education, more than 4 years (level 7-8)";"Unknown";"2 Teacher training and pedagogy";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Tertial education, more than 4 years (level 7-8)";"Unknown";"3 Social sciences and law";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Tertial education, more than 4 years (level 7-8)";"Unknown";"4 Business and administration";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Tertial education, more than 4 years (level 7-8)";"Unknown";"5 Natural sciences, vocational and technical subjects";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Tertial education, more than 4 years (level 7-8)";"Unknown";"6 Health, welfare and sport";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Tertial education, more than 4 years (level 7-8)";"Unknown";"7 Primary industries";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Tertial education, more than 4 years (level 7-8)";"Unknown";"8 Transport and communications, safety and security and other services";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Tertial education, more than 4 years (level 7-8)";"Unknown";"9 Unspecified field of study";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"Total";"A1 All fields of study";32680;29230;26200;34600;156764;;33980;30150;27560;35890;181131;148565;34800;31110;28500;36670;194304;161208;35560;32270;29230;37500;209896;175273;37210;33290;30140;39430;181052;153408;38850;34640;30770;41410;174343;146137
"Unknown or no completed education (level 0, 9)";"Total";"0 General subjects";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"Total";"1 Humanities and arts";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"Total";"2 Teacher training and pedagogy";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"Total";"3 Social sciences and law";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"Total";"4 Business and administration";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"Total";"5 Natural sciences, vocational and technical subjects";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"Total";"6 Health, welfare and sport";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"Total";"7 Primary industries";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"Total";"8 Transport and communications, safety and security and other services";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"Total";"9 Unspecified field of study";32680;29230;26200;34600;156764;;33980;30150;27560;35890;181131;148565;34800;31110;28500;36670;194304;161208;35560;32270;29230;37500;209896;175273;37210;33290;30140;39430;181052;153408;38850;34640;30770;41410;174343;146137
"Unknown or no completed education (level 0, 9)";"0-4 years";"A1 All fields of study";28030;27500;23980;29230;383;;28540;28280;24770;30080;235;151;29420;28750;24360;32130;121;86;30520;29230;26250;32990;117;81;32640;30000;27230;33330;105;70;;;;;;
"Unknown or no completed education (level 0, 9)";"0-4 years";"0 General subjects";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"0-4 years";"1 Humanities and arts";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"0-4 years";"2 Teacher training and pedagogy";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"0-4 years";"3 Social sciences and law";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"0-4 years";"4 Business and administration";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"0-4 years";"5 Natural sciences, vocational and technical subjects";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"0-4 years";"6 Health, welfare and sport";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"0-4 years";"7 Primary industries";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"0-4 years";"8 Transport and communications, safety and security and other services";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"0-4 years";"9 Unspecified field of study";28030;27500;23980;29230;383;;28540;28280;24770;30080;235;151;29420;28750;24360;32130;121;86;30520;29230;26250;32990;117;81;32640;30000;27230;33330;105;70;;;;;;
"Unknown or no completed education (level 0, 9)";"5 years or more";"A1 All fields of study";33080;30040;27500;34800;4514;;33980;30920;28290;35070;4911;3673;34730;31720;28840;35810;4878;3652;35730;32590;29460;36860;4788;3608;36390;33210;30470;37380;3728;2840;36900;33760;30690;38120;3442;
"Unknown or no completed education (level 0, 9)";"5 years or more";"0 General subjects";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"5 years or more";"1 Humanities and arts";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"5 years or more";"2 Teacher training and pedagogy";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"5 years or more";"3 Social sciences and law";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"5 years or more";"4 Business and administration";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"5 years or more";"5 Natural sciences, vocational and technical subjects";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"5 years or more";"6 Health, welfare and sport";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"5 years or more";"7 Primary industries";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"5 years or more";"8 Transport and communications, safety and security and other services";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"5 years or more";"9 Unspecified field of study";33080;30040;27500;34800;4514;;33980;30920;28290;35070;4911;3673;34730;31720;28840;35810;4878;3652;35730;32590;29460;36860;4788;3608;36390;33210;30470;37380;3728;2840;36900;33760;30690;38120;3442;
"Unknown or no completed education (level 0, 9)";"Unknown";"A1 All fields of study";32680;29190;26140;34620;151867;;33990;30110;27520;35930;175985;144740;34800;31050;28490;36680;189305;157470;35560;32250;29230;37500;204991;171584;37230;33290;30130;39470;177219;150498;38890;34670;30780;41440;170829;143459
"Unknown or no completed education (level 0, 9)";"Unknown";"0 General subjects";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"Unknown";"1 Humanities and arts";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"Unknown";"2 Teacher training and pedagogy";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"Unknown";"3 Social sciences and law";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"Unknown";"4 Business and administration";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"Unknown";"5 Natural sciences, vocational and technical subjects";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"Unknown";"6 Health, welfare and sport";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"Unknown";"7 Primary industries";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"Unknown";"8 Transport and communications, safety and security and other services";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"Unknown";"9 Unspecified field of study";32680;29190;26140;34620;151867;;33990;30110;27520;35930;175985;144740;34800;31050;28490;36680;189305;157470;35560;32250;29230;37500;204991;171584;37230;33290;30130;39470;177219;150498;38890;34670;30780;41440;170829;143459
