"Purchase price for one- and two-dwelling buildings, average in 1 000 SEK by region, type of real estate and year"
"1763 Forshaga";"permanent dwelling (no site leasehold rights)";237;232;231;208;232;231;242;330;398;442;454;391;366;368;388;382;400;459;445;449;466;463;496;545;609;688;735;806;819;799;822;842;879;895;955;1076;1292;1246;1335
"1764 Grums";"permanent dwelling (no site leasehold rights)";207;209;185;209;223;219;233;289;338;384;394;366;341;350;356;375;374;415;412;407;407;468;448;468;511;556;604;651;644;703;720;682;750;812;921;949;911;1023;1043
"1765 Årjäng";"permanent dwelling (no site leasehold rights)";178;228;235;242;292;259;309;363;396;438;424;299;366;356;353;332;349;371;425;465;511;559;594;669;693;839;871;1010;964;1103;1087;1044;1103;1213;1208;1269;1365;1321;1414
"1766 Sunne";"permanent dwelling (no site leasehold rights)";222;224;205;235;255;272;261;304;408;416;456;428;437;439;449;490;531;534;539;548;515;570;562;632;709;748;835;815;1043;902;1049;988;963;1094;1201;1199;1357;1348;1284
"1780 Karlstad";"permanent dwelling (no site leasehold rights)";339;322;336;338;344;373;421;472;586;670;712;662;600;640;642;683;729;771;833;877;917;981;1103;1143;1208;1440;1591;1660;1787;1909;1857;1781;2067;2169;2259;2395;2685;2646;2902
"1781 Kristinehamn";"permanent dwelling (no site leasehold rights)";256;237;251;268;267;290;322;368;414;463;499;475;420;450;434;458;518;535;521;560;528;561;561;541;667;650;716;862;872;887;866;765;852;900;979;1028;1164;1397;1353
"1782 Filipstad";"permanent dwelling (no site leasehold rights)";202;219;204;221;260;270;292;299;344;331;371;336;302;308;309;298;351;358;340;355;346;364;306;369;351;394;410;474;449;466;469;462;478;497;537;466;553;600;666
"1783 Hagfors";"permanent dwelling (no site leasehold rights)";238;182;185;217;211;225;269;288;331;415;361;344;293;352;359;353;357;317;348;351;320;347;341;395;440;507;523;522;561;586;528;471;547;627;582;553;635;617;642
"1784 Arvika";"permanent dwelling (no site leasehold rights)";223;246;251;265;259;297;300;345;386;431;455;428;432;419;453;402;434;446;429;487;477;552;563;637;662;782;892;968;1020;1041;978;1004;1042;1165;1199;1308;1436;1536;1571
"1785 Säffle";"permanent dwelling (no site leasehold rights)";253;265;242;261;259;273;302;359;423;459;503;412;405;435;432;455;447;466;466;488;497;512;520;631;604;659;701;746;786;802;885;736;752;782;817;934;920;970;1142
"1814 Lekeberg";"permanent dwelling (no site leasehold rights)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;400;429;526;453;505;603;560;601;647;715;719;843;852;1023;951;1050;905;1067;1029;1199;1299;1551;1520;1609;1728
"1860 Laxå";"permanent dwelling (no site leasehold rights)";287;261;294;241;310;302;312;365;407;455;499;387;441;373;415;351;375;350;398;392;399;394;458;409;509;545;538;491;644;476;575;514;522;593;610;712;714;975;893
"1861 Hallsberg";"permanent dwelling (no site leasehold rights)";255;255;264;261;264;257;286;319;374;467;459;381;368;368;375;453;471;470;521;539;548;549;579;619;686;684;829;800;865;829;952;855;933;963;1067;1279;1248;1372;1373
"1862 Degerfors";"permanent dwelling (no site leasehold rights)";279;251;265;275;295;293;309;333;365;380;405;382;297;330;351;369;374;391;390;385;384;392;437;449;461;490;491;499;553;544;528;497;516;499;600;682;747;826;825
"1863 Hällefors";"permanent dwelling (no site leasehold rights)";217;221;232;244;235;230;253;285;295;313;322;357;263;308;304;303;281;270;297;318;317;306;313;346;388;406;418;424;428;519;411;424;405;468;457;554;519;521;669
"1864 Ljusnarsberg";"permanent dwelling (no site leasehold rights)";170;167;176;177;168;176;197;225;262;305;339;225;217;269;324;271;324;253;281;296;257;280;278;274;318;358;314;374;379;337;398;373;460;416;488;493;636;657;635
"1880 Örebro";"permanent dwelling (no site leasehold rights)";337;319;321;339;366;363;407;467;559;639;728;666;611;618;676;753;767;850;901;991;1035;1072;1207;1355;1472;1667;1915;2013;1988;2017;2084;2138;2227;2456;2724;2920;3116;3123;3275
"1881 Kumla";"permanent dwelling (no site leasehold rights)";257;277;260;277;268;295;340;377;437;530;551;523;421;471;520;508;583;628;661;710;765;709;773;893;1005;1113;1178;1329;1349;1319;1378;1349;1382;1682;1834;1972;2053;2335;2265
"1882 Askersund";"permanent dwelling (no site leasehold rights)";239;263;246;264;256;261;289;308;337;413;409;422;430;378;426;459;466;469;482;424;487;515;515;533;593;664;688;849;797;895;872;826;856;903;1030;1082;1356;1290;1412
"1883 Karlskoga";"permanent dwelling (no site leasehold rights)";336;329;309;338;345;364;380;405;465;479;485;451;449;447;454;493;490;519;536;553;591;606;699;689;746;804;871;839;955;948;962;993;932;953;1123;1321;1540;1513;1427
"1884 Nora";"permanent dwelling (no site leasehold rights)";284;290;270;289;271;291;306;328;438;485;497;406;449;451;461;438;474;494;560;586;547;611;661;675;684;822;804;974;1052;1013;1096;980;1152;1005;1128;1349;1368;1643;1693
"1885 Lindesberg";"permanent dwelling (no site leasehold rights)";258;235;248;253;266;271;282;318;353;423;452;386;385;413;396;405;422;453;450;469;460;526;514;519;593;631;679;766;795;745;769;868;857;869;1037;1117;1225;1184;1397
"1904 Skinnskatteberg";"permanent dwelling (no site leasehold rights)";229;243;183;211;278;233;216;307;377;386;386;381;363;386;340;314;374;361;405;423;361;361;384;455;459;623;444;564;597;580;565;579;486;626;597;807;892;605;872
"1907 Surahammar";"permanent dwelling (no site leasehold rights)";283;305;281;314;304;331;345;437;498;589;598;493;414;460;430;457;466;489;560;529;537;625;615;655;774;912;896;962;966;947;928;965;1010;1014;1131;1304;1510;1524;1499
"1960 Kungsör";"permanent dwelling (no site leasehold rights)";305;297;282;284;320;313;348;373;466;507;589;542;435;479;440;459;476;516;571;585;600;642;721;779;739;927;850;1019;931;943;1078;1059;899;1062;1240;1483;1589;1751;1771
"1961 Hallstahammar";"permanent dwelling (no site leasehold rights)";267;261;264;288;320;330;380;460;559;639;643;618;505;537;488;550;631;603;688;702;707;719;853;959;981;1109;1243;1124;1285;1230;1259;1206;1273;1352;1604;1831;2185;2129;1929
"1962 Norberg";"permanent dwelling (no site leasehold rights)";259;293;303;314;305;306;311;335;376;401;474;415;405;397;431;404;422;407;440;459;414;407;486;481;487;518;632;659;624;755;689;560;729;696;687;776;1064;1017;1111
"1980 Västerås";"permanent dwelling (no site leasehold rights)";387;379;393;429;446;482;537;632;774;831;923;822;822;824;804;839;881;954;1029;1097;1103;1372;1474;1666;1886;2052;2236;2281;2377;2408;2505;2466;2360;2675;2954;3175;3401;3507;3510
"1981 Sala";"permanent dwelling (no site leasehold rights)";306;321;309;304;305;324;345;401;455;535;576;519;466;504;488;507;512;555;561;591;659;666;776;816;977;991;1043;1171;1237;1212;1289;1388;1346;1427;1611;1750;1780;2154;2004
"1982 Fagersta";"permanent dwelling (no site leasehold rights)";272;244;267;274;270;290;311;341;391;468;513;419;446;399;401;426;423;458;494;469;486;530;482;509;569;611;699;745;689;762;728;806;825;778;1011;1236;1220;1160;1323
"1983 Köping";"permanent dwelling (no site leasehold rights)";285;256;290;337;316;345;378;418;514;570;599;573;489;527;493;497;553;557;605;592;689;678;727;812;876;952;1094;1109;1165;1291;1127;1234;1230;1324;1605;1625;1921;2125;2014
"1984 Arboga";"permanent dwelling (no site leasehold rights)";326;334;347;320;322;319;349;405;506;552;613;552;483;625;588;544;575;605;636;652;726;762;748;765;910;973;1035;1080;995;1023;953;999;1073;1207;1240;1357;1501;1633;1795
"2021 Vansbro";"permanent dwelling (no site leasehold rights)";209;204;134;173;173;204;204;237;254;302;295;248;259;268;271;312;334;296;331;307;348;302;316;335;313;355;362;363;424;447;454;452;475;461;525;627;628;658;703
"2023 Malung-Sälen";"permanent dwelling (no site leasehold rights)";297;186;227;265;277;265;306;323;363;446;467;445;403;389;470;440;390;404;407;492;427;480;536;499;682;626;707;814;660;884;752;979;782;1014;920;1038;1441;1263;1590
"2026 Gagnef";"permanent dwelling (no site leasehold rights)";252;252;230;232;241;234;254;294;375;401;402;347;394;350;361;386;430;362;385;414;419;420;488;501;530;667;644;768;742;788;841;851;911;942;1063;1074;1305;1273;1438
"2029 Leksand";"permanent dwelling (no site leasehold rights)";314;305;324;293;336;343;343;395;469;558;592;621;533;590;559;557;587;711;688;717;747;773;812;956;1047;1262;1287;1278;1354;1512;1598;1646;1604;1467;1759;1885;2008;2264;2315
"2031 Rättvik";"permanent dwelling (no site leasehold rights)";282;292;293;321;328;299;313;380;480;509;541;488;484;544;484;456;456;452;501;557;586;697;750;747;694;818;1079;964;1065;1135;1144;1124;1275;1215;1354;1601;1599;1988;1646
"2034 Orsa";"permanent dwelling (no site leasehold rights)";291;274;280;314;281;305;305;334;384;381;452;356;399;409;381;372;413;374;444;412;452;481;521;560;605;624;720;782;952;872;839;764;909;905;971;1129;1110;1178;1424
"2039 Älvdalen";"permanent dwelling (no site leasehold rights)";296;236;274;277;231;311;301;321;404;353;430;359;349;395;365;410;440;401;477;348;417;375;462;496;472;530;588;625;595;635;674;697;659;667;767;902;1045;1081;1157
"2061 Smedjebacken";"permanent dwelling (no site leasehold rights)";262;258;241;225;234;214;255;319;409;445;468;380;397;388;447;434;435;447;457;436;468;518;457;551;544;646;677;662;768;682;757;683;772;891;863;969;1122;1283;1301
"2062 Mora";"permanent dwelling (no site leasehold rights)";307;305;319;322;326;354;382;425;478;568;549;589;463;513;474;512;504;569;566;575;581;637;656;752;779;890;1051;1083;1087;1202;1070;1194;1146;1285;1323;1542;1604;1762;1835
"2080 Falun";"permanent dwelling (no site leasehold rights)";384;373;364;402;417;393;436;501;557;641;691;638;571;586;632;615;629;687;711;764;795;823;903;908;1036;1227;1341;1376;1585;1685;1770;1716;1742;1985;2236;2475;2687;2665;2660
"2081 Borlänge";"permanent dwelling (no site leasehold rights)";309;314;320;328;320;350;370;413;493;589;614;560;513;529;529;559;573;592;654;667;715;711;795;839;939;1009;1208;1300;1342;1482;1503;1642;1666;1740;1949;2130;2244;2311;2374
"2082 Säter";"permanent dwelling (no site leasehold rights)";262;255;256;245;252;290;314;357;431;466;487;462;396;431;432;418;462;453;481;493;479;494;540;595;649;705;762;824;858;934;937;1044;1047;1160;1231;1428;1626;1694;1844
"2083 Hedemora";"permanent dwelling (no site leasehold rights)";231;233;243;249;270;259;274;332;352;394;424;438;364;405;347;406;386;406;402;460;427;429;441;503;497;608;567;649;742;748;767;786;878;826;913;1043;1119;1188;1288
"2084 Avesta";"permanent dwelling (no site leasehold rights)";256;257;267;271;282;286;328;378;426;493;538;459;454;468;464;451;455;512;487;470;496;524;522;580;598;667;774;860;908;827;843;921;896;912;1081;1153;1373;1393;1535
"2085 Ludvika";"permanent dwelling (no site leasehold rights)";231;263;281;234;239;252;255;348;414;468;453;449;436;420;423;416;448;496;472;518;544;500;502;544;626;682;690;697;749;877;804;933;871;956;1063;1116;1271;1394;1322
"2101 Ockelbo";"permanent dwelling (no site leasehold rights)";183;228;194;190;241;222;209;254;322;323;408;403;383;356;368;451;360;438;367;366;382;338;408;396;563;551;616;510;623;611;729;579;654;787;805;796;919;928;1068
"2104 Hofors";"permanent dwelling (no site leasehold rights)";249;231;219;231;260;258;303;327;373;407;411;372;378;359;338;350;403;367;449;421;418;405;400;427;470;508;596;579;647;615;538;686;669;639;746;729;800;952;868
"2121 Ovanåker";"permanent dwelling (no site leasehold rights)";250;262;245;223;245;259;266;322;325;411;394;334;346;369;350;372;386;389;414;378;383;420;402;419;434;490;544;577;576;576;628;611;553;622;773;734;900;945;965
"2132 Nordanstig";"permanent dwelling (no site leasehold rights)";202;203;228;212;216;218;237;273;277;356;355;308;293;310;296;315;317;338;347;329;321;338;356;327;381;402;423;466;492;521;593;596;540;600;652;709;677;835;787
"2161 Ljusdal";"permanent dwelling (no site leasehold rights)";223;227;221;234;239;261;273;310;351;414;422;342;362;408;365;354;399;404;386;428;451;457;482;526;520;543;595;629;772;715;747;830;823;794;884;967;1126;1172;1229
"2180 Gävle";"permanent dwelling (no site leasehold rights)";314;321;324;333;341;353;384;448;496;566;649;596;570;570;582;638;672;711;765;821;921;931;1012;1117;1265;1380;1512;1655;1570;1749;1882;1815;1904;2021;2270;2399;2695;2899;2897
"2181 Sandviken";"permanent dwelling (no site leasehold rights)";307;299;293;311;318;322;324;384;437;469;531;497;478;474;448;492;494;503;526;556;616;599;644;717;775;841;926;1017;1072;1026;1106;1147;1096;1142;1282;1411;1448;1625;1682
"2182 Söderhamn";"permanent dwelling (no site leasehold rights)";232;244;232;248;254;274;276;331;379;426;464;404;368;407;401;386;404;458;447;501;511;512;509;500;606;638;692;687;697;783;700;792;766;844;828;981;1031;1157;1211
"2183 Bollnäs";"permanent dwelling (no site leasehold rights)";276;290;268;276;290;311;322;370;394;477;469;428;431;430;431;440;453;445;485;490;462;471;501;546;583;687;683;791;791;839;867;887;803;884;1021;1038;1170;1149;1304
"2184 Hudiksvall";"permanent dwelling (no site leasehold rights)";272;283;281;292;307;309;341;391;437;498;526;497;444;457;449;487;488;549;528;545;551;597;625;625;705;788;876;954;1050;1005;971;1142;1197;1234;1307;1566;1731;1578;1723
"2260 Ånge";"permanent dwelling (no site leasehold rights)";183;190;201;195;183;219;247;285;290;338;308;229;251;256;283;267;276;265;270;268;267;285;297;255;285;268;293;318;292;315;321;380;312;321;342;359;414;421;539
"2262 Timrå";"permanent dwelling (no site leasehold rights)";276;254;250;271;278;297;334;388;430;499;571;504;470;480;436;428;486;495;507;531;566;551;568;617;661;682;817;828;860;860;916;883;887;1047;1241;1275;1401;1451;1476
"2280 Härnösand";"permanent dwelling (no site leasehold rights)";284;291;305;306;298;310;312;364;371;425;440;451;430;450;436;431;464;464;513;493;498;504;538;564;574;629;685;719;723;751;787;796;763;873;994;1053;1162;1231;1212
"2281 Sundsvall";"permanent dwelling (no site leasehold rights)";324;330;341;351;351;382;425;478;550;621;679;649;566;593;558;597;633;670;700;720;748;794;817;891;978;1136;1186;1233;1324;1422;1408;1469;1485;1694;1838;2117;2249;2378;2248
"2282 Kramfors";"permanent dwelling (no site leasehold rights)";154;166;168;176;161;191;192;209;220;265;269;250;266;276;258;273;281;245;305;299;283;266;291;278;346;304;349;313;448;407;383;378;410;415;463;486;543;540;544
"2283 Sollefteå";"permanent dwelling (no site leasehold rights)";191;212;227;233;225;217;244;261;290;311;318;299;257;281;287;376;349;358;347;347;349;336;339;328;357;364;365;437;403;424;394;404;425;455;469;476;561;539;566
"2284 Örnsköldsvik";"permanent dwelling (no site leasehold rights)";260;258;266;271;288;304;334;342;364;424;450;436;387;419;397;412;446;449;479;447;489;515;493;575;641;725;770;817;936;955;882;924;986;1044;1119;1236;1325;1279;1359
"2303 Ragunda";"permanent dwelling (no site leasehold rights)";276;175;177;159;189;226;208;248;259;262;249;251;229;206;227;224;268;229;209;256;198;240;243;227;243;243;269;289;225;304;297;331;385;260;367;308;374;464;415
"2305 Bräcke";"permanent dwelling (no site leasehold rights)";206;185;281;220;230;194;225;254;302;334;309;344;284;290;303;272;312;255;295;322;320;298;307;325;330;355;322;369;391;398;354;410;430;457;497;532;612;629;586
"2309 Krokom";"permanent dwelling (no site leasehold rights)";266;270;264;287;313;297;309;355;416;458;553;508;380;399;455;476;508;489;498;554;575;569;584;692;689;763;834;1015;1004;1029;1191;1241;1391;1310;1491;1498;1608;1813;1679
"2313 Strömsund";"permanent dwelling (no site leasehold rights)";221;200;203;208;207;223;237;241;275;311;289;319;270;278;229;279;311;279;277;276;271;330;311;297;304;355;379;393;391;385;421;429;451;428;439;498;648;489;591
"2321 Åre";"permanent dwelling (no site leasehold rights)";298;272;266;283;327;319;330;367;480;561;540;580;449;513;412;450;497;533;514;452;628;538;681;855;847;1302;1186;1566;1218;1492;1528;1277;1564;1582;1706;2175;2301;2400;2457
"2326 Berg";"permanent dwelling (no site leasehold rights)";221;234;199;234;246;237;219;319;274;358;344;301;247;331;294;298;367;322;367;360;419;337;338;425;391;410;472;451;554;544;577;718;619;584;798;719;859;805;919
"2361 Härjedalen";"permanent dwelling (no site leasehold rights)";252;235;261;254;234;252;272;284;346;345;388;370;381;343;317;420;380;364;420;384;341;402;403;438;586;523;572;605;698;754;855;634;666;752;747;935;1098;927;1069
"2380 Östersund";"permanent dwelling (no site leasehold rights)";393;433;410;425;423;443;492;557;602;735;829;732;667;709;668;670;733;722;783;834;897;972;1042;1118;1247;1328;1531;1728;1654;1887;1901;1828;1965;2125;2479;2513;2709;2733;2706
"2401 Nordmaling";"permanent dwelling (no site leasehold rights)";193;183;202;186;189;185;249;279;295;299;374;366;307;313;284;314;340;360;397;406;415;374;406;429;430;504;513;536;591;552;597;536;568;678;842;701;800;958;1049
"2403 Bjurholm";"permanent dwelling (no site leasehold rights)";..;..;112;209;234;185;135;218;225;256;347;239;256;201;280;304;296;358;265;363;374;268;338;288;365;327;332;330;346;408;349;299;391;395;396;407;473;476;443
"2404 Vindeln";"permanent dwelling (no site leasehold rights)";213;194;151;186;205;207;244;239;336;357;314;333;364;361;350;373;336;358;318;382;366;335;411;401;424;407;444;434;441;469;483;508;437;479;680;693;806;1005;917
"2409 Robertsfors";"permanent dwelling (no site leasehold rights)";218;201;202;186;220;232;266;255;315;392;407;433;338;266;357;334;366;356;366;403;397;424;450;412;403;427;529;505;510;449;500;533;545;671;685;859;713;884;950
"2417 Norsjö";"permanent dwelling (no site leasehold rights)";204;208;188;256;164;244;252;237;298;341;283;348;241;333;217;284;354;310;322;276;283;297;306;300;269;318;299;294;291;283;336;323;326;289;504;352;439;410;406
"2418 Malå";"permanent dwelling (no site leasehold rights)";..;..;226;219;223;238;259;290;309;341;306;412;307;285;343;307;303;372;382;329;328;344;285;316;342;325;378;370;306;373;378;423;368;338;400;538;379;533;479
"2421 Storuman";"permanent dwelling (no site leasehold rights)";229;227;173;250;220;221;245;269;282;304;317;299;269;278;255;289;264;317;329;290;342;360;277;430;352;348;441;438;424;532;413;485;676;573;510;543;789;656;706
"2422 Sorsele";"permanent dwelling (no site leasehold rights)";202;231;214;243;262;213;235;190;221;265;267;203;296;315;340;293;313;318;310;311;284;286;294;280;357;300;320;318;289;335;338;319;360;297;307;387;392;632;486
"2425 Dorotea";"permanent dwelling (no site leasehold rights)";225;173;182;192;166;171;176;273;277;265;237;188;213;238;216;290;300;395;276;326;385;283;274;296;293;237;342;341;455;355;401;344;389;376;333;360;407;450;506
"2460 Vännäs";"permanent dwelling (no site leasehold rights)";269;286;294;275;282;325;339;391;446;489;515;498;434;504;492;485;559;548;589;581;600;593;644;691;800;828;874;946;928;934;925;896;1062;1081;1188;1477;1626;1720;1576
"2462 Vilhelmina";"permanent dwelling (no site leasehold rights)";209;227;241;228;224;235;249;237;292;319;383;343;324;329;344;360;363;365;387;314;365;396;336;339;353;394;425;414;465;438;443;434;463;467;504;475;533;525;634
"2463 Åsele";"permanent dwelling (no site leasehold rights)";175;125;152;162;177;175;189;188;238;252;255;223;207;284;234;232;257;256;268;246;261;264;219;216;281;244;226;278;235;268;262;274;294;275;326;311;265;352;330
"2480 Umeå";"permanent dwelling (no site leasehold rights)";417;396;397;400;411;420;454;540;664;759;852;776;703;786;759;792;842;926;962;1086;1177;1221;1199;1361;1574;1805;1870;2023;2060;2149;2163;2227;2301;2519;2874;3122;3344;3495;3502
"2481 Lycksele";"permanent dwelling (no site leasehold rights)";270;259;275;272;272;280;291;302;377;388;431;402;405;414;375;439;438;449;431;453;464;453;423;486;440;473;478;581;589;749;719;666;765;753;899;819;901;1094;999
"2482 Skellefteå";"permanent dwelling (no site leasehold rights)";281;294;285;312;334;338;354;379;412;446;490;492;459;479;479;494;509;533;556;564;593;607;622;628;679;758;858;864;851;949;942;1020;1056;1179;1329;1487;1591;1685;1715
"2505 Arvidsjaur";"permanent dwelling (no site leasehold rights)";314;243;234;248;263;265;270;318;307;351;345;298;291;303;284;314;310;318;332;340;326;328;304;332;315;439;417;461;441;478;557;518;617;635;633;773;691;994;984
"2506 Arjeplog";"permanent dwelling (no site leasehold rights)";207;217;201;238;312;204;321;321;310;327;355;283;266;261;292;302;289;322;321;324;252;315;365;392;343;423;498;364;510;515;525;599;789;618;703;824;847;918;1013
"2510 Jokkmokk";"permanent dwelling (no site leasehold rights)";178;192;213;228;224;222;265;259;298;365;344;329;270;257;306;275;357;304;334;319;259;344;270;291;319;293;360;351;376;375;416;426;477;428;596;547;786;652;902
"2513 Överkalix";"permanent dwelling (no site leasehold rights)";191;160;172;219;174;215;193;204;287;293;263;348;308;234;291;247;243;345;276;275;295;257;236;277;242;274;231;313;262;248;288;330;331;391;468;427;571;444;489
"2514 Kalix";"permanent dwelling (no site leasehold rights)";210;217;216;253;258;248;260;295;329;395;386;325;313;306;301;316;360;318;355;332;383;390;383;366;430;425;437;453;446;509;411;448;454;513;556;688;709;789;808
"2518 Övertorneå";"permanent dwelling (no site leasehold rights)";113;241;189;235;263;251;238;289;309;345;426;288;328;290;312;358;347;322;333;335;352;313;340;336;361;406;394;345;385;328;389;315;373;376;385;365;403;500;514
"2521 Pajala";"permanent dwelling (no site leasehold rights)";138;160;144;135;198;255;255;284;355;295;399;401;331;345;280;345;386;327;378;365;301;357;362;298;310;310;360;350;520;405;481;612;554;545;648;594;576;668;519
"2523 Gällivare";"permanent dwelling (no site leasehold rights)";303;303;307;304;307;334;357;395;462;570;584;508;455;484;474;470;497;510;526;499;467;501;509;475;517;643;584;620;770;880;855;1030;1118;1357;1524;1602;1651;1727;1868
"2560 Älvsbyn";"permanent dwelling (no site leasehold rights)";213;186;202;214;224;230;258;273;311;315;344;281;271;301;301;317;315;297;340;334;346;358;326;361;346;345;410;395;417;493;427;465;472;523;596;622;637;649;723
"2580 Luleå";"permanent dwelling (no site leasehold rights)";315;354;341;369;374;441;492;568;654;724;789;715;670;649;658;655;698;756;836;907;1010;985;1060;1093;1317;1372;1384;1501;1614;1665;1826;1815;2056;2104;2485;2546;2640;2615;2646
"2581 Piteå";"permanent dwelling (no site leasehold rights)";241;237;260;260;278;295;313;337;370;444;464;436;416;428;448;421;436;463;472;498;542;583;594;643;739;775;845;887;849;889;879;930;980;1086;1254;1307;1569;1483;1684
"2582 Boden";"permanent dwelling (no site leasehold rights)";213;235;244;283;274;302;291;363;427;451;473;365;374;397;368;388;391;446;451;457;490;512;528;545;602;607;672;692;694;752;691;860;873;929;1246;1177;1383;1341;1273
"2583 Haparanda";"permanent dwelling (no site leasehold rights)";221;245;250;272;294;310;318;372;477;581;584;455;360;414;407;421;474;449;469;495;479;468;521;549;592;706;721;722;697;767;748;758;705;746;876;826;936;846;990
"2584 Kiruna";"permanent dwelling (no site leasehold rights)";285;299;300;299;325;366;365;451;528;648;693;632;547;556;512;511;525;560;515;542;567;587;584;612;732;822;989;889;966;1042;1170;1176;1572;1498;1469;1640;1668;1947;1859
